Sales Qty,,,,,2024,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,MTD CY-1,MTD CY-1,MTD CY-1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,MTD-1,MTD-1,MTD-1,MTD-3,MTD-3,MTD-3,MTD-2,MTD-2,MTD-2,MTD-2,MTD,MTD,MTD,Open
HROCK EAST,MMG DUGALD RIVER P/L          ,MMG AUSTRALIA LTD (VIC) (JA526),JTW152IHS      ,TENSIONER WEDGES 15.2MM X 10T ,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,5,,,,,,,,,,,,,
HROCK EAST,MMG DUGALD RIVER P/L          ,MMG DUGALD RIVER P/L (JA474),CH604          ,Enerpac Male High flow coupler High Flow,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
HROCK EAST,MMG DUGALD RIVER P/L          ,MMG DUGALD RIVER P/L (JA474),HC7220MDG41    ,ENERPAC 6M THERMO PLAS HI PRESSURE HYDRAULIC HOSE MDG41 COMPLIANT,,,1,1,,1,1,1,,,,,3,,,,,1,,,,,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,2,
HROCK EAST,MMG DUGALD RIVER P/L          ,MMG DUGALD RIVER P/L (JA474),HEYE30SQMT38F  ,HAWKEYE BOLT DRIVER 30MM SQ DRIVE W/ T38F C/W BALL PLUNGER,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HROCK EAST,MMG DUGALD RIVER P/L          ,MMG DUGALD RIVER P/L (JA474),HNUTDRIVER36AF ,HAWKEYE NUT DRIVER INSERT 36AF D0090,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HROCK EAST,MMG DUGALD RIVER P/L          ,MMG DUGALD RIVER P/L (JA474),JFBGRTLNCE60381,"Falcon Bolt Grout Lance 600mm , 38 A/F Claw ",,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HROCK EAST,MMG DUGALD RIVER P/L          ,MMG DUGALD RIVER P/L (JA474),JFBR32E602A38  ,Falcon Bolt R32E x 6M Shell A-38 Hex 2 x R3230E ( SDA0026) ,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HROCK EAST,MMG DUGALD RIVER P/L          ,MMG DUGALD RIVER P/L (JA474),JFBR32X602A38  ,"FALCON BOLT, R32X X 6M, SHELL A-38 HEX 2 X R3230X (SDA0051) ",,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HROCK EAST,MMG DUGALD RIVER P/L          ,MMG DUGALD RIVER P/L (JA474),JFBT3809046AF  ,Falcon Bolt Tensioning Dolly T38F x 45AF  900mm Long ,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HROCK EAST,MMG DUGALD RIVER P/L          ,MMG DUGALD RIVER P/L (JA474),JFBT385103846AF,FALCON BOLT DRILLING DOLLY T38F X 38&46AF X 510MM SDA0056 ,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HROCK EAST,MMG DUGALD RIVER P/L          ,MMG DUGALD RIVER P/L (JA474),JHE2524PHPG    ,HAWKEYE BOLT 25MM J-TECH 2400MM H PIN PADDLES - G 100 UNITS PER PACK,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HROCK EAST,MMG DUGALD RIVER P/L          ,MMG DUGALD RIVER P/L (JA474),JIHS09         ,TAIL PIPE SPRING ,,,2,,,2,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
HROCK EAST,MMG DUGALD RIVER P/L          ,MMG DUGALD RIVER P/L (JA474),JLLH240030SFSP ,"J-LOK LIF DUAL TWIN  1200X30MM S-FAST/SLOW P/CHUTE RESIN - 7 CAPSULES/BOX, 294/PALLET (42 BOXES)",,,,,,28,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HROCK EAST,MMG DUGALD RIVER P/L          ,MMG DUGALD RIVER P/L (JA474),JTW152IHS      ,TENSIONER WEDGES 15.2MM X 10T ,,,6,5,,7,5,,4,,,,7,,,,,5,,,,,,,,7,,,,,,,,,,5,,,,,,,,4,,,,,,,,,,,6,,,,,,,,,,,,,,5,,2,
HROCK EAST,MMG DUGALD RIVER P/L          ,MMG DUGALD RIVER P/L (JA474),JV20201055GI   ,Volcano plate 200x200x10mm w/55mm Hole Grt Indicator hol ,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HROCK EAST,MMG DUGALD RIVER P/L          ,MMG DUGALD RIVER P/L (JA474),SMESH300011704 ,SHOTCRETE MESH 3.00MX1.17M 4MM WIRE - GAL IMG4D-66-3012,,100,,,,200,300,,,,500,,,,,,,,,,,,,,,,,,,,200,,,300,,,,,100,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,
HROCK EAST,MMG DUGALD RIVER P/L          ,MMG DUGALD RIVER P/L (JA474),SWM5050101060P ,Spider web mesh 5 M x 5 M 100x100 apt White 60x60 Kn ,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HROCK EAST,MMG DUGALD RIVER P/L          ,MMG DUGALD RIVER P/L (JA474),TD80GROUT      ,Top Down 80MPA Cable Grout 20kg Bag 56 BAGS X 20KG PER PALLET,,,,,,,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HROCK EAST,MT ISA MINING SUPPLIES        ,BLDG & IND SUP GRP T/AS MOUNT ISA MINING SUPPLIES (JA505),JLS65025S      ,"J-LOK SINGLE 650X25MM SLOW RESIN - 35 CAPSULES/BOX, 1,680/PALLET (48 BOXES)",,,,,,,,,,,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,,,,,,,,,,,,,,,,,,,,,,,
HROCK EAST,MT ISA MINING SUPPLIES        ,BLDG & IND SUP GRP T/AS MOUNT ISA MINING SUPPLIES (JA505),JTB2524TTNPHGS ,J-TECH BOLT 25MMX2.4M H PIN NUT + SHREDDER - GAL 100 UNITS PER PACK,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,
HROCK EAST,NEWMONT TANAMI P/L            ,NEWMONT TANAMI P/L (JA581),JCLIPUPS       ,CLIPUP STANDARD HANGER - 3 HOOK ,,,,,,250,,,,,500,,,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,
HROCK EAST,NEWMONT TANAMI P/L            ,NEWMONT TANAMI P/L (JA581),SMESH300011704 ,SHOTCRETE MESH 3.00MX1.17M 4MM WIRE - GAL IMG4D-66-3012,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HROCK EAST,Northern Star Resources Limite,NORTHERN STAR (POGO) LLC (JA561),CCP300310108G  ,MESH STRAP 3.0MX0.3M 100X100 APT 8.0MM WIRE- GAL IMG8-44-3003_MS905778,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,
HROCK EAST,Northern Star Resources Limite,NORTHERN STAR (POGO) LLC (JA561),JFL390910GE    ,*EXPORT* FRICTION LOK BOLT 39MMX900MM + 10MM RING - GAL 150 BOLTS PER PACK WITH EXPORT TIMBERS,,,,6750,12750,6750,20250,6750,13500,2700,13650,18450,6000,,,,,,6750,,,,6750,,6000,,,,,6750,,6750,,13500,,,,6750,,,,,,6750,6750,2700,,,,,11250,,,,,,,,,7200,,,,,,13650,,,,1800,4200,75150
HROCK EAST,Northern Star Resources Limite,NORTHERN STAR (POGO) LLC (JA561),JFL4709G       ,FRICTION LOK BOLT 47MMX900MM - GAL 150 BOLTS PER PACK,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,
HROCK EAST,Northern Star Resources Limite,NORTHERN STAR (POGO) LLC (JA561),JFL4724GE      ,*EXPORT* FRICTION LOK BOLT 47MMX2400MM - GAL 150 BOLTS PER PACK WITH EXPORT TIMBERS,,,,12000,27000,33000,27000,45000,36000,18000,44400,42000,21000,,,,,,12000,,,,12000,6000,9000,,12000,,,18000,3000,15000,,12000,,,6000,15000,,,24000,,,18000,18000,18000,,,6000,,18000,,,,,,,,,24000,,,,,,20400,12000,6000,,6000,15000,264000
HROCK EAST,Northern Star Resources Limite,NORTHERN STAR (POGO) LLC (JA561),JR20200450GE   ,*EXPORT* ROLL TOP 200X200X4MM 50MM HOLE GALVANISED 750 PER EXPORT PALLET,,,,37500,30000,66750,50250,6750,43500,27750,6750,27000,18000,,,,,,37500,,,,7500,,22500,,45000,,,6750,15000,6750,,43500,,,,6750,,,,,,21750,21750,27750,,,,,27000,,,,,,,,,,,,,,,6750,,,,,18000,463500
HROCK EAST,PEAK GOLD MINES               ,PEAK GOLD MINES P/L (JA085),GROUTGUN20     ,20MM GROUT GUN ,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,
HROCK EAST,PEAK GOLD MINES               ,PEAK GOLD MINES P/L (JA085),JFBGRTLNCE60381,"Falcon Bolt Grout Lance 600mm , 38 A/F Claw ",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
HROCK EAST,PEAK GOLD MINES               ,PEAK GOLD MINES P/L (JA085),JFBR32X602A38  ,"FALCON BOLT, R32X X 6M, SHELL A-38 HEX 2 X R3230X (SDA0051) ",,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,
HROCK EAST,PEAK GOLD MINES               ,PEAK GOLD MINES P/L (JA085),JFBT3809046AF  ,Falcon Bolt Tensioning Dolly T38F x 45AF  900mm Long ,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
HROCK EAST,PEAK GOLD MINES               ,PEAK GOLD MINES P/L (JA085),JFBT385103846AF,FALCON BOLT DRILLING DOLLY T38F X 38&46AF X 510MM SDA0056 ,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
HROCK EAST,PEAK GOLD MINES               ,PEAK GOLD MINES P/L (JA085),JV20201055GI   ,Volcano plate 200x200x10mm w/55mm Hole Grt Indicator hol ,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,
HROCK EAST,PEAK GOLD MINES               ,PEAK GOLD MINES P/L (JA085),TD80GROUT      ,Top Down 80MPA Cable Grout 20kg Bag 56 BAGS X 20KG PER PALLET,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,
HROCK EAST,PERILYA                       ,PERILYA BROKEN HILL LTD (JA017),CC402410105    ,MESH MINE 4.0MX2.4M 100X100 APT 5.0MM WIRE IMB5-44-4024,650,,,500,300,350,250,250,250,350,350,300,200,100,100,450,,150,200,50,100,200,,50,50,100,,,,250,,,150,,100,100,50,,,100,,150,,100,,,,100,100,100,50,,,,,,,,,100,150,,200,50,,50,100,,100,100,,
HROCK EAST,PERILYA                       ,PERILYA BROKEN HILL LTD (JA017),CCP40241010056G,MESH MINE 4.0MX2.4M 100X100 APT 5.6MM WIRE - GAL IMG5H-44-4024,1050,300,700,500,550,400,350,350,300,300,750,500,500,250,200,350,,300,100,100,,200,,200,150,100,,200,,200,100,,150,200,,150,100,,,100,,100,100,100,,100,100,,200,200,200,,,250,400,100,200,,,,300,,,200,,200,150,,200,200,100,
HROCK EAST,PERILYA                       ,PERILYA BROKEN HILL LTD (JA017),CPE-MIMT38A    ,RESIN INSERTER ADAPTOR ONLY 26MM - T38 ,,,,20,,20,,,,,,,,,,,,,,,20,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HROCK EAST,PERILYA                       ,PERILYA BROKEN HILL LTD (JA017),CS1527001BM    ,CABLE REEL 15.2MMX700M - 1 BULB PER/M 1 Reel x700M Per palet ,,4,2,6,4,6,3,3,7,2,5,3,4,,,,,2,2,,2,,2,2,,2,,2,1,3,,1,,2,,2,,,2,1,,2,2,1,2,,,,,1,,,,,,2,,,2,,1,,,2,,2,2,,,,4,
HROCK EAST,PERILYA                       ,PERILYA BROKEN HILL LTD (JA017),EB1606B        ,EYE BOLT 16MM X 600MM HR0074,,30,50,,,,,,50,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,50,,,,,,,,,,,,,,,,,
HROCK EAST,PERILYA                       ,PERILYA BROKEN HILL LTD (JA017),EB16CS         ,CONE & SHELL 16MM 50 UNITS PER PACK,,30,50,,,,,,50,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,50,,,,,,,,,,,,,,,,,
HROCK EAST,PERILYA                       ,PERILYA BROKEN HILL LTD (JA017),EB2406B        ,EYE BOLT 24MM X 600MM ,,30,,,,,,,50,100,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,100,,,,,,,,,,
HROCK EAST,PERILYA                       ,PERILYA BROKEN HILL LTD (JA017),ES2443RHT      ,EXPANSION SHELL M24 RIGHT HAND THREAD - 43MM 20 UNITS PER PACK,,30,,,,,,,50,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HROCK EAST,PERILYA                       ,PERILYA BROKEN HILL LTD (JA017),JCP2839K41HG   ,COMBI PLATE 280X300 +K150X5MM TOP PLATE 41MM H GAL 250 PLATES PER PALLET,,,500,,,,,,250,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,,,500,,,,,,500,,,,,,,,,,,,,,,,
HROCK EAST,PERILYA                       ,PERILYA BROKEN HILL LTD (JA017),JFL390910G     ,FRICTION LOK BOLT 39MMX900MM + 10MM RING - GAL 150 BOLTS PER PACK,300,,,150,150,,,,150,300,300,150,150,,,300,,,150,,,,,,150,,,,,,,,,,,,,,,,,,,,150,,,150,,,150,,,,,,,,,,,,150,,,150,150,,,,150,
HROCK EAST,PERILYA                       ,PERILYA BROKEN HILL LTD (JA017),JFL4712B       ,FRICTION LOK BOLT 47MMX1200MM - BLACK 150 BOLTS PER PACK,1500,450,450,1350,1050,1350,1200,1500,900,1350,1800,1200,300,150,150,1200,,450,450,,450,150,300,300,300,300,,,450,600,,,600,300,300,450,150,,150,900,,,150,,750,600,,150,300,300,600,300,,,,,450,,150,150,300,,600,,,150,1050,,,300,,
HROCK EAST,PERILYA                       ,PERILYA BROKEN HILL LTD (JA017),JFL4724G       ,FRICTION LOK BOLT 47MMX2400MM - GAL 150 BOLTS PER PACK,9600,4200,6000,7200,4800,7200,6000,6600,4800,4800,7200,7350,6150,2400,2400,4800,,2400,1800,1200,1800,2400,,2400,,2400,,1800,2400,2400,,,2400,2400,1200,2400,,1800,,2400,,,1200,2400,1200,1200,1200,1200,1800,1200,2400,1200,,,2400,1200,2400,,1350,1200,2400,,2400,,,1200,3000,,1200,1200,3750,
HROCK EAST,PERILYA                       ,PERILYA BROKEN HILL LTD (JA017),JK15150541HG   ,KANGA PLATE 150X150X5MM 41MM HOLE GAL 980 PLATES PER PALLET,,,,980,980,980,,980,980,980,1960,,,,,,,980,,,,,980,,,,,,,980,,,,,,,980,,,,,,,,980,,,,,,,,,,,,,,,,,,,980,,980,980,,,,,
HROCK EAST,PERILYA                       ,PERILYA BROKEN HILL LTD (JA017),JL5H240026FSP  ,"J-LOK 5* DUAL TWIN 1200X26MM FAST/SLOW P/CHUTE RESIN - 9 CAPSULES/BOX, 378/PALLET (42 BOXES)",756,756,1512,756,1512,1512,756,756,756,1134,,756,756,,756,,756,,756,,,756,,756,,756,,,,756,,,756,,,,,,,756,,,,756,,,,,,,,,,,756,,756,,,756,,,378,756,,,,,,756,,
HROCK EAST,PERILYA                       ,PERILYA BROKEN HILL LTD (JA017),JLHS60025F     ,"J-LOK SHOOTER SINGLE 600X25MM FAST SET RESIN - 35 CAPSULES/BOX, 1,680/PALLET (48 BOXES)",,,,,,,,,525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525,,,,,,,,,,,,,,,,,,,,,,,,,,,
HROCK EAST,PERILYA                       ,PERILYA BROKEN HILL LTD (JA017),JLHS60025S     ,"J-LOK SHOOTER SINGLE 600X25MM SLOW SET RESIN - 35 CAPSULES/BOX, 1,680/PALLET (48 BOXES)",,,,,,,,,525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525,,,,,,,,,,,,,,,,,,,,,,,,,,,
HROCK EAST,PERILYA                       ,PERILYA BROKEN HILL LTD (JA017),JML4724G       ,MECH LOK BOLT 47MM X 2400MM - GAL 120 UNITS PER PACK,,,,240,,240,,,,,,,,,,,,,,,240,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HROCK EAST,PERILYA                       ,PERILYA BROKEN HILL LTD (JA017),JOS3003G       ,Ausro Straps Gal 3.0 x 0.3 OSH106H-3003G,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,
HROCK EAST,PERILYA                       ,PERILYA BROKEN HILL LTD (JA017),JR20200450     ,ROLL TOP PLATE 200X200X4MM 50MM HOLE BLACK 500 PLATES PER PALLET,4500,,,,1000,2000,500,1000,500,1500,2500,2000,1000,,1000,3500,,,,,,,,,1000,1000,,,,1000,,,500,,,1000,,,,,,,500,,,,,,500,1000,1000,,,,,,,,,500,500,,500,1000,,,1000,,,1000,,
HROCK EAST,PERILYA                       ,PERILYA BROKEN HILL LTD (JA017),JR20200450G    ,ROLL TOP PLATE 200X200X4MM 50MM HOLE GAL 500 PLATES PER PALLET,9000,2500,7000,8000,4500,9000,5000,6000,6000,5000,8500,8500,4000,3000,1500,4500,,2000,3000,1000,2000,1000,,2500,1000,2000,,1000,2000,4000,1000,,1500,1500,2000,1000,2000,,,3000,,2000,2000,,2000,,1500,1500,2500,1500,4500,,,,3000,1000,3000,,1500,1000,1500,,2000,1500,,1500,3000,,,3000,1000,
HROCK EAST,PERILYA                       ,PERILYA BROKEN HILL LTD (JA017),JTB2515TTNPRGP ,J-TECH BOLT 25MMX1.5M RED PIN NUT + PADDLES - GAL 100 UNITS PER PACK,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,
HROCK EAST,PERILYA                       ,PERILYA BROKEN HILL LTD (JA017),JTB2518TTNPRGP ,J-TECH BOLT 25MMX1.8M RED PIN NUT + PADDLES - GAL 100 UNITS PER PACK,,,,500,,,,,,300,,,,,,,,400,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,
HROCK EAST,PERILYA                       ,PERILYA BROKEN HILL LTD (JA017),JTB2524TTNPHGS ,J-TECH BOLT 25MMX2.4M H PIN NUT + SHREDDER - GAL 100 UNITS PER PACK,600,700,600,500,1200,800,400,500,900,300,500,200,100,400,,200,,300,200,,,400,400,200,200,300,,400,100,200,200,200,,200,,,100,,300,400,,400,200,300,,,,100,,,,,,,200,,400,,,,200,,100,100,,300,200,,,,100,
HROCK EAST,PERILYA                       ,PERILYA BROKEN HILL LTD (JA017),JTECHEYENUT    ,J-TECH EYE NUT 25MM RATED AT WLL 3 TONNE ,,,,,20,,40,,30,,,,,,,,,,,,,,20,,,,,,,,,40,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HROCK EAST,PERILYA                       ,PERILYA BROKEN HILL LTD (JA017),JTNUT125DHANGG ,J-TECH NUT HANGER 25MM M6 X 1.25D - GALVANISED 50 UNITS PER PACK,,,,,50,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HROCK EAST,PERILYA                       ,PERILYA BROKEN HILL LTD (JA017),PCT26*3600S    ,032.25mm O.D. x 027.5mm I.D Tube Polycarbonate ,,,60,60,,20,,,,20,,,,,,,,,,,60,,,,,,,,,,20,,,,,,,,,,,,,,,20,,,,,,,,,30,,30,,,,,,,,,,,,,,,
HROCK EAST,PERILYA                       ,PERILYA BROKEN HILL LTD (JA017),PULL47G        ,PULL COLLAR TO SUIT 47MM DIA FRICTION LOK - GAL ,,,,,650,,300,,,100,,,,,,,,,,,,200,200,250,,,,,,,,150,150,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,
HROCK EAST,PERILYA                       ,PERILYA BROKEN HILL LTD (JA017),SMESH300011704 ,SHOTCRETE MESH 3.00MX1.17M 4MM WIRE - GAL IMG4D-66-3012,,400,,,,,,,200,,400,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,200,,,,,400,,,,,,,,,,,,,,,,,,,,,,,
HROCK EAST,PERILYA                       ,PERILYA BROKEN HILL LTD (JA017),T38WIL90036AF  ,DOLLIE T38 X 36AF 900MM LONG TO SUIT J-TECH WILCO,,2,,2,,,,3,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,3,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
HROCK EAST,POLYMETALS (ENDEAVOR) P/L     ,POLYMETALS (ENDEAVOR) P/L (JA567),CCP40241010056G,MESH MINE 4.0MX2.4M 100X100 APT 5.6MM WIRE - GAL IMG5H-44-4024,,150,600,400,700,750,750,850,550,500,450,200,200,,,,,,,,400,,,,,700,,,,,750,,,,750,,,,,,850,,,,550,500,,,,450,200,150,,,,,,600,,,,,,,,,,,,,200,
HROCK EAST,POLYMETALS (ENDEAVOR) P/L     ,POLYMETALS (ENDEAVOR) P/L (JA567),CS1526001BM    ,CABLE REEL 15.2MM X 600M - 1 BULB PER METRE 1 REEL X 600M PER PALLET,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
HROCK EAST,POLYMETALS (ENDEAVOR) P/L     ,POLYMETALS (ENDEAVOR) P/L (JA567),CS152700PL     ,15.2mm x 700 M cable reel Plain Continuous,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
HROCK EAST,POLYMETALS (ENDEAVOR) P/L     ,POLYMETALS (ENDEAVOR) P/L (JA567),EB2006B        ,EYE BOLT 20MM X 600MM ,,,,,50,,30,,,9,,20,,,,,,,,,,,,,,50,,,,,,,,,30,,,,,,,,,,,9,,,,,20,,,,,,,,,,,,,,,,,,,,,
HROCK EAST,POLYMETALS (ENDEAVOR) P/L     ,POLYMETALS (ENDEAVOR) P/L (JA567),EB20CS         ,CONE & SHELL 20MM ,,,,,30,,30,,15,5,4,16,,,,,,,,,,,,,,30,,,,,,,,,30,,,,,,,,,,15,5,,,,4,16,,,,,,,,,,,,,,,,,,,,,
HROCK EAST,POLYMETALS (ENDEAVOR) P/L     ,POLYMETALS (ENDEAVOR) P/L (JA567),EB2406B        ,EYE BOLT 24MM X 600MM ,,,,,52,2,,20,15,9,2,20,,,,,,,,,,,,,,52,,,,,2,,,,,,,,,,20,,,,15,9,,,,2,20,,,,,,,,,,,,,,,,,,,,,
HROCK EAST,POLYMETALS (ENDEAVOR) P/L     ,POLYMETALS (ENDEAVOR) P/L (JA567),ES2443RHT      ,EXPANSION SHELL M24 RIGHT HAND THREAD - 43MM 20 UNITS PER PACK,,,,,52,2,,20,10,1,,19,,,,,,,,,,,,,,52,,,,,2,,,,,,,,,,20,,,,10,1,,,,,19,,,,,,,,,,,,,,,,,,,,,
HROCK EAST,POLYMETALS (ENDEAVOR) P/L     ,POLYMETALS (ENDEAVOR) P/L (JA567),JCP28390150450G,COMBI PLATE 280X300 + R150X4MM ROLL TOP 50MM H GAL 250 PLATES PER PALLET,,1250,750,750,1250,2500,2250,2000,500,500,1000,,500,,,,,,,,750,,,,,1250,,,,,2500,,,,2250,,,,,,2000,,,,500,500,,,,1000,,1250,,,,,,750,,,,,,,,,,,,,500,
HROCK EAST,POLYMETALS (ENDEAVOR) P/L     ,POLYMETALS (ENDEAVOR) P/L (JA567),JDO33FLS       ,DOLLIE TO SUIT 33MM FRICTION LOK ,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
HROCK EAST,POLYMETALS (ENDEAVOR) P/L     ,POLYMETALS (ENDEAVOR) P/L (JA567),JDOPANTHER36AF ,DOLLIE HAND HELD 300MM LONG FOR PANTHER RIG ,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
HROCK EAST,POLYMETALS (ENDEAVOR) P/L     ,POLYMETALS (ENDEAVOR) P/L (JA567),JF303010202    ,FLAT PLATE 300X300X10MM 2 X 20MM HOLES BLACK 100 PLATES PER PALLET,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,
HROCK EAST,POLYMETALS (ENDEAVOR) P/L     ,POLYMETALS (ENDEAVOR) P/L (JA567),JFBGRTLNCE60381,"Falcon Bolt Grout Lance 600mm , 38 A/F Claw ",,,,2,2,3,4,4,6,,,,,,,,,,,,2,,,,,2,,,,,3,,,,4,,,,,,4,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
HROCK EAST,POLYMETALS (ENDEAVOR) P/L     ,POLYMETALS (ENDEAVOR) P/L (JA567),JFBR32S602A38  ,Falcon Bolt R32S x 6M Shell A-38 Hex 2 x R3230S ( SDA0025) ,,40,,40,160,80,,,,,,,,,,,,,,,40,,,,,160,,,,,80,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,
